Species,X,Y
Bison,-435531.8582,310154.5751
Bison,-197581.3948,265310.5672
Bison,-197581.3948,265310.5672
Bison,51124.8411,-153513.9814
Bison,153078.4217,-106513.6191
Bison,-701744.9854,-182071.6791
Bison,-701744.9854,-182071.6791
Bison,-701744.9854,-182071.6791
Bison,-758454.3611,-11683.4952
Bison,-758454.3611,-11683.4952
Bison,-1879522.873,2207516.593
Bison,-30531.2743,72312.6893
Bison,-76181.0143,250365.1297
Bison,-696201.1518,291320.4951
Bison,-696201.1518,291320.4951
Bison,202609.7469,155194.2254
Bison,-1145552.119,-125498.981
Bison,-1145552.119,-125498.981
Bison,-1029146.217,-20092.832
Bison,-1029146.217,-20092.832
Bison,-1029146.217,-20092.832
Bison,-1034393.979,2974690.873
Bison,-1034393.979,2974690.873
Bison,-28658.4127,55632.65
Bison,-950241.7935,481643.626
Bison,-197581.3948,265310.5672
Bison,-692876.7558,837316.9732
Bison,-692876.7558,837316.9732
Bison,-861416.8902,912717.3984
Bison,-34135.2428,-60443.2969
Bison,-270515.6117,931017.2218
Bison,-438863.2404,-68536.3899
Bison,-979204.7414,608520.0533
Bison,-979204.7414,608520.0533
Bison,-511150.5541,-230513.8502
Bison,-1006354.19,600092.37
Bison,-1006354.19,600092.37
Bison,-77520.7094,462069.6031
Bison,-881580.5347,1030671.075
Bison,-907714.9799,713268.3208
Bison,-535729.3695,-461254.2463
Bison,-535729.3695,-461254.2463
Bison,-535729.3695,-461254.2463
Bison,-535729.3695,-461254.2463
Bison,-19927.6675,-70349.0264
Bison,-1048052.538,605810.8924
Bison,-1824861.159,2559845.222
Bison,-38826.0335,96439.6934
Bison,-958755.1361,537131.8499
Bison,-1010846.919,542341.3839
Bison,-1010846.919,542341.3839
Bison,-1010823.044,542337.1548
Bison,-1010823.044,542337.1548
Bison,-1010823.044,542337.1548
Bison,194659.5654,489981.9255
Bison,-822736.5667,568524.493
Bison,-822736.5667,568524.493
Bison,-822736.5667,568524.493
Bison,-822736.5667,568524.493
Bison,-822736.5667,568524.493
Bison,-822736.5667,568524.493
Bison,-822736.5667,568524.493
Bison,-822736.5667,568524.493
Bison,-1014629.109,601576.9227
Bison,-1013447.127,601364.0905
Bison,-1009900.912,600727.1058
Bison,-1006692.089,598263.7423
Bison,-1011926.089,573886.3556
Bison,-1007874.809,598475.1312
Bison,-1013447.127,601364.0905
Bison,-1013447.127,601364.0905
Bison,-1024426.601,601460.7559
Bison,-819975.6947,586888.508
Bison,-819975.6947,586888.508
Bison,-1054207.444,775524.2015
Bison,-1107713.321,847053.0252
Bison,-496611.724,160607.536
Bison,-837033.4616,839220.7327
Bison,-98932.5789,290388.6542
Bison,-1111686.311,103365.88
Bison,60154.7014,-110845.4338
Bison,-1281343.973,1418121.508
Bison,-934603.1426,1585464.733
Bison,-19660.2445,16700.2045
Bison,-1027830.982,243793.4655
Bison,-1027830.982,243793.4655
Bison,-812307.8742,700239.8968
Bison,-812307.8742,700239.8968
Bison,-96466.8606,251208.2648
Bison,-2239.6363,-79916.9051
Bison,-298465.2071,340877.1406
Bison,-48944.6752,-42413.811
Bison,-479868.9955,-232828.7924
Bison,-479868.9955,-232828.7924
Bison,-75715.9782,250544.6394
Bison,-290402.5349,915403.1969
Bison,18771.3502,529092.9896
Bison,-979019.514,607858.7324
Bison,-979019.514,607858.7324
Bison,-979019.514,607858.7324
Bison,27791.0578,500206.7589
Bison,-19711.6698,30.3064
Bison,-658992.511,51909.5496
Bison,-75715.9782,250544.6394
Bison,-9318.0941,-83336.6889
Bison,-58602.0047,490867.3404
Bison,-58602.0047,490867.3404
Bison,17994.3946,539986.1463
Bison,-989608.5201,591464.1149
Bison,-587354.2137,391590.9967
Bison,-587354.2137,391590.9967
Bison,-953521.8272,489164.7969
Bison,-953521.8272,489164.7969
Bison,-953521.8272,489164.7969
Bison,-953521.8272,489164.7969
Bison,-953521.8272,489164.7969
Bison,-953521.8272,489164.7969
Bison,-32229.5859,57810.8292
Bison,-131875.9472,279296.6291
Bison,-269959.6462,930988.5039
Bison,-143598.8066,-494949.491
Bison,-143598.8066,-494949.491
Bison,-143598.8066,-494949.491
Bison,-143598.8066,-494949.491
Bison,4229.0737,500141.4957
Bison,4229.0737,500141.4957
Bison,-103475.6192,250952.7105
Bison,-461375.1972,-468082.3984
Bison,-930399.0635,200749.4887
Bison,-953521.8272,489164.7969
Bison,-953521.8272,489164.7969
Bison,-953521.8272,489164.7969
Bison,-550884.825,-214347.1881
Bison,38625.0904,-102056.9208
Bison,-450202.0063,821116.6545
Bison,-909252.0327,883100.6486
Bison,-758219.7989,621360.9576
Bison,-450829.2764,821572.0289
Bison,-150710.7775,279735.8932
Bison,-980558.5963,693703.9598
Bison,-980558.5963,693703.9598
Bison,-1079799.477,838580.1947
Bison,-39594.0672,-27660.7615
Bison,-538539.9952,-31266.5425
Bison,-538539.9952,-31266.5425
Bison,-538539.9952,-31266.5425
Bison,-538539.9952,-31266.5425
Bison,-576319.0484,-343323.9731
Bison,-28658.4127,55632.65
Bison,-37316.9267,63673.7189
Bison,-520668.3338,-229780.2517
Bison,-877916.149,1031293.902
Bison,-444175.7007,-472767.0261
Bison,-444175.7007,-472767.0261
Bison,-444175.7007,-472767.0261
Bison,-444175.7007,-472767.0261
Bison,-444175.7007,-472767.0261
Bison,-102992.8577,278736.836
Bison,-899874.9934,617869.6035
Bison,52597.3141,-347882.283
Bison,-103475.6192,250952.7105
Bison,-440974.6925,57809.7837
Bison,-773425.5465,649265.3634
Bison,-1457728.883,3117100.631
Bison,-1011083.064,600939.1884
Bison,-76185.6581,454333.6557
Bison,51124.8411,-153513.9814
Bison,241095.3588,-121509.0234
Bison,-36587.2972,-60090.4471
Bison,-643597.5749,198650.5067
Bison,-643597.5749,198650.5067
Bison,-6195.9807,541813.2059
Bison,-535729.3695,-461254.2463
Bison,-450399.2172,818902.5836
Bison,-19625.904,27813.6729
Bison,-645340.8498,157533.796
Bison,-450864.9403,821172.2842
Bison,-450864.9403,821172.2842
Bison,-450864.9403,821172.2842
Bison,-473972.1353,822481.1338
Bison,50797.5334,-110924.6933
Bison,-635089.6745,-359459.0874
Bison,-1029146.217,-20092.832
Bison,-327221.9685,-47293.7811
Bison,-742855.6094,450298.2065
Bison,-103475.6192,250952.7105
Bison,-103475.6192,250952.7105
Bison,-828971.7722,9389.9409
Bison,-555852.8408,-130743.9973
Bison,-555852.8408,-130743.9973
Bison,-555852.8408,-130743.9973
